,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
452,2144546400.0,9.217462e-14
453,1117066.0,4.1138805e-17
454,140595280.0,6.036491e-15
455,57079444.0,2.446634e-15
456,41921324.0,1.795075e-15
457,5178929.5,2.1573455e-16
458,2564974.0,1.033759e-16
459,131538776.0,5.6472047e-15
460,1664837.4,6.4684286e-17
461,680258.4,2.2363e-17
462,234226.17,3.190687e-18
463,59842468.0,2.5654002e-15
464,63528724.0,2.7238506e-15
465,2091502.9,8.3024145e-17
466,2104075.5,8.3564565e-17
467,3779768400000.0,1.6247012e-10
468,137640000.0,5.9094605e-15
469,505109500.0,2.1704823e-14
